match_id,season,team,winner,won,total_runs,total_wickets,powerplay_runs,powerplay_wickets,middle_runs,middle_wickets,death_runs,death_wickets
733971,2014,Chennai Super Kings,Chennai Super Kings,1,148,3,43,1,83,2,22,0
733971,2014,Kolkata Knight Riders,Chennai Super Kings,0,114,9,39,4,52,3,23,2
548352,2012,Chennai Super Kings,Chennai Super Kings,1,160,6,56,1,68,3,36,2
548352,2012,Deccan Chargers,Chennai Super Kings,0,150,5,47,1,55,2,48,2
419113,2010,Chennai Super Kings,Chennai Super Kings,1,164,3,31,1,65,2,68,0
419113,2010,Kolkata Knight Riders,Chennai Super Kings,0,109,10,45,3,45,6,19,1
1426309,2024,Sunrisers Hyderabad,Kolkata Knight Riders,0,159,10,45,4,80,4,34,2
1426309,2024,Kolkata Knight Riders,Kolkata Knight Riders,1,164,2,63,1,101,1,0,0
1082603,2017,Rising Pune Supergiant,Gujarat Lions,0,171,8,64,2,62,3,45,3
1082603,2017,Gujarat Lions,Gujarat Lions,1,172,3,61,0,72,3,39,0
336040,2008,Chennai Super Kings,Rajasthan Royals,0,163,5,42,1,75,2,46,2
336040,2008,Rajasthan Royals,Rajasthan Royals,1,164,7,41,1,71,3,52,3
598017,2013,Delhi Daredevils,,0,152,5,43,1,51,3,58,1
598017,2013,Royal Challengers Bangalore,,0,152,7,48,2,78,0,26,5
598017,2013,Royal Challengers Bangalore,,0,15,0,15,0,0,0,0,0
598017,2013,Delhi Daredevils,,0,11,2,11,2,0,0,0,0
1473495,2025,Punjab Kings,,0,122,1,69,0,53,1,0,0
1254077,2021,Delhi Capitals,,0,159,4,51,0,65,2,43,2
1254077,2021,Sunrisers Hyderabad,,0,159,7,56,2,54,2,49,3
1254077,2021,Sunrisers Hyderabad,,0,7,0,7,0,0,0,0,0
1254077,2021,Delhi Capitals,,0,8,0,8,0,0,0,0,0
501263,2011,Mumbai Indians,Rajasthan Royals,0,133,5,26,2,68,1,39,2
501263,2011,Rajasthan Royals,Rajasthan Royals,1,134,0,52,0,82,0,0,0
1175365,2019,Kolkata Knight Riders,,0,185,8,36,2,82,3,67,3
1175365,2019,Delhi Capitals,,0,185,6,45,1,95,1,45,4
1175365,2019,Delhi Capitals,,0,10,1,10,1,0,0,0,0
1175365,2019,Kolkata Knight Riders,,0,7,1,7,1,0,0,0,0
1254060,2021,Kolkata Knight Riders,Kolkata Knight Riders,1,187,6,50,0,95,1,42,5
1254060,2021,Sunrisers Hyderabad,Kolkata Knight Riders,0,177,5,35,2,84,1,58,2
336016,2008,Royal Challengers Bangalore,Kings XI Punjab,0,143,8,50,3,52,2,41,3
336016,2008,Kings XI Punjab,Kings XI Punjab,1,144,1,42,0,99,1,3,0
1359506,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,1,189,9,62,2,94,2,33,5
1359506,2023,Rajasthan Royals,Royal Challengers Bangalore,0,182,6,47,1,74,2,61,3
1216504,2020,Kolkata Knight Riders,Kolkata Knight Riders,1,174,6,42,1,78,4,54,1
1216504,2020,Rajasthan Royals,Kolkata Knight Riders,0,137,9,39,2,51,6,47,1
419127,2010,Kolkata Knight Riders,Kolkata Knight Riders,1,183,5,50,2,76,1,57,2
