match_id,season,inning,batting_team,winner,total_runs,total_wickets,powerplay_runs,powerplay_wickets,middle_overs_runs,middle_overs_wickets,death_overs_runs,death_overs_wickets
335982,2008,1st innings,Kolkata Knight Riders,Kolkata Knight Riders,222,3,61,1,93,1,68,1
335982,2008,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,82,10,26,4,55,5,1,1
335983,2008,1st innings,Chennai Super Kings,Chennai Super Kings,240,5,53,1,108,3,79,1
335983,2008,2nd innings,Kings XI Punjab,Chennai Super Kings,207,4,63,1,102,2,42,1
335984,2008,1st innings,Rajasthan Royals,Delhi Daredevils,129,8,40,2,56,5,33,1
335984,2008,2nd innings,Delhi Daredevils,Delhi Daredevils,132,1,55,1,73,0,4,0
335985,2008,1st innings,Mumbai Indians,Royal Challengers Bangalore,165,7,47,3,58,1,60,3
335985,2008,2nd innings,Royal Challengers Bangalore,Royal Challengers Bangalore,166,5,40,1,78,3,48,1
335986,2008,1st innings,Deccan Chargers,Kolkata Knight Riders,110,10,39,2,38,4,33,4
335986,2008,2nd innings,Kolkata Knight Riders,Kolkata Knight Riders,112,5,26,3,55,1,31,1
335987,2008,1st innings,Kings XI Punjab,Rajasthan Royals,166,8,54,1,61,3,51,4
335987,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,168,4,53,3,89,1,26,0
335988,2008,1st innings,Deccan Chargers,Delhi Daredevils,142,8,25,2,48,3,69,3
335988,2008,2nd innings,Delhi Daredevils,Delhi Daredevils,143,1,48,1,95,0,0,0
335989,2008,1st innings,Chennai Super Kings,Chennai Super Kings,208,5,53,2,90,1,65,2
335989,2008,2nd innings,Mumbai Indians,Chennai Super Kings,202,7,52,2,82,3,68,2
335990,2008,1st innings,Deccan Chargers,Rajasthan Royals,214,5,58,2,90,1,66,2
335990,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,217,7,73,1,86,2,58,4
335991,2008,1st innings,Kings XI Punjab,Kings XI Punjab,182,10,60,1,78,3,44,6
335991,2008,2nd innings,Mumbai Indians,Kings XI Punjab,116,9,39,2,62,5,15,2
335992,2008,1st innings,Royal Challengers Bangalore,Rajasthan Royals,135,8,57,2,38,5,40,1
335992,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,138,3,45,2,76,0,17,1
335993,2008,1st innings,Kolkata Knight Riders,Chennai Super Kings,147,9,61,3,43,3,43,3
335993,2008,2nd innings,Chennai Super Kings,Chennai Super Kings,152,1,45,0,76,1,31,0
335994,2008,1st innings,Mumbai Indians,Deccan Chargers,154,7,27,3,72,2,55,2
335994,2008,2nd innings,Deccan Chargers,Deccan Chargers,155,0,60,0,95,0,0,0
335995,2008,1st innings,Delhi Daredevils,Kings XI Punjab,158,8,45,3,62,2,51,3
335995,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,162,6,55,2,68,2,39,2
335996,2008,1st innings,Chennai Super Kings,Chennai Super Kings,178,5,36,1,66,2,76,2
335996,2008,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,165,10,45,1,87,2,33,7
335997,2008,1st innings,Kolkata Knight Riders,Mumbai Indians,137,8,40,3,47,3,50,2
335997,2008,2nd innings,Mumbai Indians,Mumbai Indians,138,3,38,3,72,0,28,0
335998,2008,1st innings,Delhi Daredevils,Delhi Daredevils,191,5,58,1,93,1,40,3
335998,2008,2nd innings,Royal Challengers Bangalore,Delhi Daredevils,181,5,55,3,79,0,47,2
335999,2008,1st innings,Deccan Chargers,Kings XI Punjab,164,8,50,1,61,5,53,2
335999,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,167,3,41,1,88,2,38,0
336000,2008,1st innings,Rajasthan Royals,Rajasthan Royals,196,7,45,1,97,3,54,3
336000,2008,2nd innings,Kolkata Knight Riders,Rajasthan Royals,151,10,51,3,77,2,23,5
336001,2008,1st innings,Chennai Super Kings,Delhi Daredevils,169,6,47,1,79,2,43,3
336001,2008,2nd innings,Delhi Daredevils,Delhi Daredevils,172,2,64,0,78,2,30,0
336002,2008,1st innings,Deccan Chargers,Royal Challengers Bangalore,165,10,41,0,82,4,42,6
336002,2008,2nd innings,Royal Challengers Bangalore,Royal Challengers Bangalore,171,5,43,1,63,2,65,2
336003,2008,1st innings,Kings XI Punjab,Kings XI Punjab,178,6,49,1,70,4,59,1
336003,2008,2nd innings,Kolkata Knight Riders,Kings XI Punjab,169,6,31,4,70,1,68,1
336004,2008,1st innings,Mumbai Indians,Mumbai Indians,162,8,50,2,62,3,50,3
336004,2008,2nd innings,Delhi Daredevils,Mumbai Indians,133,10,37,2,77,3,19,5
336005,2008,1st innings,Chennai Super Kings,Rajasthan Royals,109,10,38,4,53,3,18,3
336005,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,110,2,44,0,66,2,0,0
336006,2008,1st innings,Royal Challengers Bangalore,Kings XI Punjab,126,10,26,3,71,1,29,6
336006,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,127,4,52,1,57,3,18,0
336007,2008,1st innings,Chennai Super Kings,Deccan Chargers,144,7,34,3,52,3,58,1
336007,2008,2nd innings,Deccan Chargers,Deccan Chargers,148,3,50,1,65,1,33,1
336008,2008,1st innings,Rajasthan Royals,Mumbai Indians,103,10,48,2,54,5,1,3
336008,2008,2nd innings,Mumbai Indians,Mumbai Indians,104,3,34,0,68,3,2,0
336009,2008,1st innings,Delhi Daredevils,Chennai Super Kings,187,5,50,2,83,0,54,3
336009,2008,2nd innings,Chennai Super Kings,Chennai Super Kings,188,6,62,0,80,4,46,2
336010,2008,1st innings,Kolkata Knight Riders,Kolkata Knight Riders,129,7,41,2,74,4,14,1
336010,2008,2nd innings,Royal Challengers Bangalore,Kolkata Knight Riders,124,4,35,2,76,2,13,0
336011,2008,1st innings,Deccan Chargers,Rajasthan Royals,140,8,50,0,53,4,37,4
336011,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,141,2,50,0,79,1,12,1
336012,2008,1st innings,Royal Challengers Bangalore,Mumbai Indians,122,9,36,2,56,5,30,2
336012,2008,2nd innings,Mumbai Indians,Mumbai Indians,126,1,39,0,78,1,9,0
336013,2008,1st innings,Chennai Super Kings,Chennai Super Kings,181,4,53,2,91,1,37,1
336013,2008,2nd innings,Kings XI Punjab,Chennai Super Kings,163,9,35,2,80,4,48,3
336014,2008,1st innings,Kolkata Knight Riders,Kolkata Knight Riders,204,4,43,1,75,1,86,2
336014,2008,2nd innings,Deccan Chargers,Kolkata Knight Riders,181,7,55,3,70,3,56,1
336015,2008,1st innings,Delhi Daredevils,Rajasthan Royals,156,7,47,1,49,4,60,2
336015,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,159,7,21,2,99,2,39,3
336016,2008,1st innings,Royal Challengers Bangalore,Kings XI Punjab,143,8,50,3,52,2,41,3
336016,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,144,1,42,0,99,1,3,0
336017,2008,1st innings,Kolkata Knight Riders,Kolkata Knight Riders,133,6,35,1,60,2,38,3
336017,2008,2nd innings,Delhi Daredevils,Kolkata Knight Riders,110,10,37,4,60,2,13,4
336018,2008,1st innings,Chennai Super Kings,Mumbai Indians,156,6,28,2,61,2,67,2
336018,2008,2nd innings,Mumbai Indians,Mumbai Indians,158,1,78,0,80,1,0,0
336019,2008,1st innings,Kings XI Punjab,Kings XI Punjab,221,3,51,0,93,1,77,2
336019,2008,2nd innings,Rajasthan Royals,Kings XI Punjab,180,7,38,2,102,3,40,2
336020,2008,1st innings,Delhi Daredevils,Delhi Daredevils,194,4,48,1,90,0,56,3
336020,2008,2nd innings,Deccan Chargers,Delhi Daredevils,182,9,71,1,57,3,54,5
336021,2008,1st innings,Kolkata Knight Riders,Mumbai Indians,67,10,27,3,40,6,0,1
336021,2008,2nd innings,Mumbai Indians,Mumbai Indians,68,2,68,2,0,0,0,0
336022,2008,1st innings,Delhi Daredevils,Kings XI Punjab,118,4,68,0,50,4,0,0
336022,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,94,3,73,3,21,0,0,0
336023,2008,1st innings,Rajasthan Royals,Rajasthan Royals,197,1,51,0,92,1,54,0
336023,2008,2nd innings,Royal Challengers Bangalore,Rajasthan Royals,132,9,23,3,60,4,49,2
336024,2008,1st innings,Mumbai Indians,Mumbai Indians,178,7,57,1,57,3,64,3
336024,2008,2nd innings,Deccan Chargers,Mumbai Indians,153,7,32,3,74,1,47,3
336025,2008,1st innings,Kolkata Knight Riders,Chennai Super Kings,149,5,35,2,66,0,48,3
336025,2008,2nd innings,Chennai Super Kings,Chennai Super Kings,55,0,43,0,12,0,0,0
336026,2008,1st innings,Royal Challengers Bangalore,Delhi Daredevils,154,7,41,1,61,2,52,4
336026,2008,2nd innings,Delhi Daredevils,Delhi Daredevils,158,5,71,0,56,4,31,1
336027,2008,1st innings,Kolkata Knight Riders,Rajasthan Royals,147,8,32,1,70,3,45,4
336027,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,150,4,42,3,86,1,22,0
336028,2008,1st innings,Kings XI Punjab,Kings XI Punjab,189,4,43,1,91,1,55,2
336028,2008,2nd innings,Mumbai Indians,Kings XI Punjab,188,10,68,1,76,2,44,7
336029,2008,1st innings,Royal Challengers Bangalore,Royal Challengers Bangalore,126,8,23,2,53,3,50,3
336029,2008,2nd innings,Chennai Super Kings,Royal Challengers Bangalore,112,8,44,0,48,4,20,4
336031,2008,1st innings,Deccan Chargers,Kings XI Punjab,175,4,42,0,69,2,64,2
336031,2008,2nd innings,Kings XI Punjab,Kings XI Punjab,178,4,74,0,61,2,43,2
336032,2008,1st innings,Mumbai Indians,Delhi Daredevils,176,8,60,0,63,4,53,4
336032,2008,2nd innings,Delhi Daredevils,Delhi Daredevils,179,5,56,2,74,3,49,0
336033,2008,1st innings,Rajasthan Royals,Rajasthan Royals,211,5,67,0,100,2,44,3
336033,2008,2nd innings,Chennai Super Kings,Rajasthan Royals,201,7,65,1,92,2,44,4
336034,2008,1st innings,Royal Challengers Bangalore,Royal Challengers Bangalore,156,8,46,1,68,4,42,3
336034,2008,2nd innings,Deccan Chargers,Royal Challengers Bangalore,153,6,33,2,79,0,41,4
336035,2008,1st innings,Kings XI Punjab,Kolkata Knight Riders,174,6,47,1,86,2,41,3
336035,2008,2nd innings,Kolkata Knight Riders,Kolkata Knight Riders,175,7,51,2,53,3,71,2
336036,2008,1st innings,Mumbai Indians,Rajasthan Royals,145,7,29,0,68,2,48,5
336036,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,146,5,36,2,54,3,56,0
336037,2008,1st innings,Deccan Chargers,Chennai Super Kings,147,8,26,2,67,1,54,5
336037,2008,2nd innings,Chennai Super Kings,Chennai Super Kings,148,3,44,1,70,1,34,1
336038,2008,1st innings,Rajasthan Royals,Rajasthan Royals,192,9,58,0,84,4,50,5
336038,2008,2nd innings,Delhi Daredevils,Rajasthan Royals,87,10,28,3,54,5,5,2
336039,2008,1st innings,Kings XI Punjab,Chennai Super Kings,112,8,35,4,33,3,44,1
336039,2008,2nd innings,Chennai Super Kings,Chennai Super Kings,116,1,35,1,81,0,0,0
336040,2008,1st innings,Chennai Super Kings,Rajasthan Royals,163,5,42,1,75,2,46,2
336040,2008,2nd innings,Rajasthan Royals,Rajasthan Royals,164,7,41,1,71,3,52,3
392181,2009,1st innings,Mumbai Indians,Mumbai Indians,165,7,40,1,65,3,60,3
392181,2009,2nd innings,Chennai Super Kings,Mumbai Indians,146,7,40,2,68,3,38,2
392182,2009,1st innings,Royal Challengers Bangalore,Royal Challengers Bangalore,133,8,29,3,58,2,46,3
392182,2009,2nd innings,Rajasthan Royals,Royal Challengers Bangalore,58,10,14,2,44,7,0,1
392183,2009,1st innings,Kings XI Punjab,Delhi Daredevils,104,7,67,1,37,6,0,0
392183,2009,2nd innings,Delhi Daredevils,Delhi Daredevils,58,0,58,0,0,0,0,0
392184,2009,1st innings,Kolkata Knight Riders,Deccan Chargers,101,10,21,3,43,2,37,5
392184,2009,2nd innings,Deccan Chargers,Deccan Chargers,104,2,37,2,67,0,0,0
392185,2009,1st innings,Chennai Super Kings,Chennai Super Kings,179,5,68,0,67,2,44,3
392185,2009,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,87,10,46,2,39,7,2,1
392186,2009,1st innings,Kings XI Punjab,Kolkata Knight Riders,158,6,46,1,71,3,41,2
392186,2009,2nd innings,Kolkata Knight Riders,Kolkata Knight Riders,79,1,60,1,19,0,0,0
392188,2009,1st innings,Deccan Chargers,Deccan Chargers,184,6,62,1,77,2,45,3
392188,2009,2nd innings,Royal Challengers Bangalore,Deccan Chargers,160,8,31,2,78,2,51,4
392189,2009,1st innings,Delhi Daredevils,Delhi Daredevils,189,5,59,2,64,2,66,1
392189,2009,2nd innings,Chennai Super Kings,Delhi Daredevils,180,9,61,1,87,3,32,5
392190,2009,1st innings,Rajasthan Royals,,150,6,54,2,53,2,43,2
392190,2009,2nd innings,Kolkata Knight Riders,,150,8,38,1,60,4,52,3
